id,size,min_moves,total_states,articulation_points,avg_branching,score,manual_score
2swap,16,17,1365,9,3.1677655677655676,2.44,2.25
difficult,9,7,240,5,3.8,1.44,1.25
prova,16,5,50792,4,6.63128051661679,1.27,1.25
lewandowski,20,18,314880,6,4.873094512195122,2.4,2.33
cristiano,20,18,11936,14,3.984584450402145,3.01,2.8
messi,24,18,1241888,4,6.4764552036898655,2.36,2.33
005,16,11,416,1,5.480769230769231,,
004,20,7,12012,1,7.986013986013986,,
003,25,10,51952,1,8.585309516476748,,
002,20,6,504504,3,9.280005708577136,,
001,20,22,23704,13,3.5552649341883225,3.14,
a,24,29,278520,6,5.073387907511131,3.29,3.1
d,16,54,4488,32,2.9037433155080214,4.47,4.33
c,20,34,6900,33,3.907246376811594,4.26,3.4
b,16,21,833,12,3.162064825930372,3.1,2.9
x,25,32,11803,14,4.124883504193849,4.18,3.4
y,24,15,1403225,1,5.584182151828823,2.36,2.2
z,24,63,2068,45,3.5493230174081236,4.2,4.4
e,30,25,271034,3,4.4500837533298405,3.03,3.0
f,30,39,320,10,3.50625,3.35,3.33
a174f499c15ebd280855f2d8edf7703a65943f6cc4a18e200d28652d82b41314,20,15,2057,1,4.701993193971804,2.48,2.8
b2ea7a7fffb65cd00927ff175dbe0820e9ccc6f6dec49d5f900d9f289d8380e6,16,9,738,6,3.794037940379404,1.54,1.66
3e653fd5c15993d490faffd50e442d4e78ae1166524f8c8c22a0edb2c61af1c2,36,76,27381,18,4.1455753989993065,3.94,3.9
f1964b2d4744175b04c5005cefc2c4662c7b801211124b881756a1e8a84c8cf4,20,29,431,5,3.823665893271462,3.66,3.8
82345d3e2e792ef977f3b961f90d4e732a275c218f82d71e203fafa6da932a7a,16,22,390,7,3.753846153846154,2.62,2.8
5414cf3bb6eb6ef233b850b5227666dc57e6e337e06d5b4d21f1055954db7eb8,16,3,12,0,2.8333333333333335,1.07,1.0
2608f1dc3a5191430218820279543b7f0e678c5fd01f133df3983eb14b8d079d,30,62,35307,4,4.329339790976293,3.88,4.0
9634595ae04f8f70276c5558bcbe18680702ee2a41582ee3a5b42ab55f04dabc,16,7,1575,6,4.6374603174603175,1.37,1.33
5da098967c3e903fc87402a450199b5174dcc1a71a2370181ebe018f52a0e4fe,20,116,25955,71,3.232363706414949,4.3,4.25
94eb6007ed79b3d8f74b0a282347dcada36877a35dab03e5ba0aa091c19d01a3,16,8,546,3,4.131868131868132,1.35,1.35
8cbabdfab617a61a59550c599a17d95a84ab6ad5d797004326118cfe9fc34ac5,25,44,5148,1,5.966977466977467,3.97,4.33
510ab7b0dbb78922d3a6c8c399f24f0eb8e335a561433f778fa8a1f55da894d4,20,17,10464,8,6.297782874617737,2.34,2.3
3cdca299415077b968d6a86bcc51b413eebaaa2b16d9c1475d24d82cb90d31fb,20,18,39204,8,5.052596673808795,2.36,2.2
ebc25520629f258134d0b19d37dec6d8f1416071ec656ba883cd73b61fa65518,16,31,161,12,3.0559006211180124,4.13,4.65
36454aaf1cfcbf71d11f4ab073112a9cb9ce6427f6397f9cf82d660aaaeaaae1,30,96,32928,24,4.800777453838679,3.81,3.75
0093825c855457012919e04e3de946df052e09ccafed5e6f97c87f1f1fe1cc28,20,45,7328,12,3.620087336244542,4.64,4.8
7b411f3362c3297bbc35e9834ba42c57d7930ee2c221795037b48dba853c30c0,20,28,2998,13,4.348232154769846,4.32,4.75
7f1ded3b1b6676273f64c05de9147c3f40fca42f5dc8e8050ad84fd1c9a19980,20,5,232560,1,13.705263157894738,1.17,1.0
1f7ae9a0d1ea2f6e26b252f0128f798a7922eca67cf1065b9c61df98de223997,30,41,1465,6,4.999317406143344,2.43,1.66
a6552eee0c4a931474f7c9c431c24de44f3f19e3fc50364aa449181df08d7249,25,52,569138,22,5.8676138300377065,4.15,4.25
d6e3e8aeb2c8a6dd9e1bd2bf3b470756bdb43378275167d943c72b9731d9a3f2,36,55,900802,16,4.995492905211134,3.98,4.1
9ca84f2141934700d647b0d13c7c688bf6abe9262ce5186f3bc6ebd3adb7cf01,20,18,1694,4,5.0271546635183,2.41,2.6
f15847df05c62d0d2d79e90182f6c020468abc41fefe3e3696902fb4ced9d2d0,16,4,16,0,3.0,1.07,1.0
alfa,25,32,53076,15,4.692064209812345,3.62,
beta,25,37,52597,14,4.729167062760234,3.64,
