id,size,min_moves,total_states,articulation_points,avg_branching,score,manual_score
a174f499c15ebd280855f2d8edf7703a65943f6cc4a18e200d28652d82b41314,20,15,2057,1,4.701993193971804,2.02,2.8
059aa26740143f569678380a54b586dd1b019d90b94afd3fe01e749dc2a3832a,24,44,1938,15,4.176470588235294,4.27,
adddaef5d6b3bc503297bdc478e30d498649a947657a29d21535836c7b7abfe3,30,24,17249,13,4.99820279436489,2.34,
aef43221f54ec58c984d1c2f8a9009adf404f5a89351efd361f3a6936908fc61,25,27,14857,3,4.597159588072962,3.3,
f5e56f1022a30910e4cd2e5106a9458afbc79e2e61d9479729ed9101f585b539,20,126,25955,72,3.232363706414949,4.05,
6f19620bd216e97ff404ddb5c4eefae893f473f95dddff4251653f9f0818bba6,16,4,864,2,4.6157407407407405,0.18,
5b42bfc20d5ff5c256a0ef38dc7e41c659aaa4e85a2a75954c24f58f309ece08,25,98,11110,52,3.75985598559856,4.14,
b2ea7a7fffb65cd00927ff175dbe0820e9ccc6f6dec49d5f900d9f289d8380e6,16,9,738,6,3.794037940379404,0.75,
3e653fd5c15993d490faffd50e442d4e78ae1166524f8c8c22a0edb2c61af1c2,36,76,27381,18,4.1455753989993065,3.92,
f1964b2d4744175b04c5005cefc2c4662c7b801211124b881756a1e8a84c8cf4,20,29,431,5,3.823665893271462,3.57,
c2ada9aa25284e001614f9a06c5677ea7b0c2144abe8fe0df693ce44aba6f3b4,30,208,186504,94,4.013522498176982,3.56,
82345d3e2e792ef977f3b961f90d4e732a275c218f82d71e203fafa6da932a7a,16,22,390,7,3.753846153846154,2.42,
853a4901e37dcf6d681aa1fe76c104aeaff39d77f4073d8aeae55813713ca072,35,33,2500001,13,3.361960255215898,3.41,
90c721d94902e506c598b7eda081c0ff82a5dc5430bb497ca2884e53dee5dad1,25,76,17314,34,5.048053598244196,3.99,
2326aa8ffac7bb802ae4c147b669ad63f88afd23369b42af84db25dfa1e96615,20,10,17820,2,6.212794612794613,0.36,
6e440cf15287667f903964b19aee69d24fb92ee51f25ca31df4d588316fb8fd3,25,28,1164,11,4.692439862542956,3.97,
f6f5955a678e1922fb1ef463cb7002e5915a5fdf483841456ec5d15ffa4bd618,30,133,301596,37,5.071406782583323,3.58,
a0e568e4ef226bfa12a75f7e7bad0b0ff223d7ec1ab6da4a00a3a686319bfd7f,25,14,18036,6,4.365823907740076,2.07,
4e58bb860422912e8f5d974819a76eb1e939373eb1fe8201effa52d6c30c654e,30,243,66660,50,5.250945094509451,3.57,
50368e06dbe07c3eae74ec0134edabd2187acd9342e5055681ab162d46e95d64,20,126,25955,69,3.232363706414949,4.06,
54d84b5558d7c0a71ae70bc0a426c8e02e4640808dd51219eb66813dff3ec19e,30,199,417972,50,4.652526963528658,3.7,
9f2eb1f706759436c84c95bd06c3f22d78513610a0f246f4b60a9925faeb4a24,25,164,7558,54,3.753638528711299,3.99,
5414cf3bb6eb6ef233b850b5227666dc57e6e337e06d5b4d21f1055954db7eb8,16,3,12,0,2.833333333333333,0.05,
2608f1dc3a5191430218820279543b7f0e678c5fd01f133df3983eb14b8d079d,30,62,35307,4,4.329339790976293,3.7,
860f612d80823ebb994413c13b1b6993c5b62d71ffdf28d77762dc2acbf39301,20,126,25955,69,3.232363706414949,4.06,
f5c7fb51bb81f642b617d0fef1d89045b47fff2cfaa254c12711c616a8af92d8,20,126,25955,72,3.232363706414949,4.05,
04afe9dc3633573e39963517b48d4ffc984454833ae0fddfef38394982b2fca4,30,56,6484,9,4.401603948180136,3.67,
da2155919b7031894ad4a425554972bdaa6200febb415d8558ec04c5274bdbe3,16,16,140,8,3.842857142857143,2.2,
d5752eacee4dfaa05cdbf8a446122bacd426e16583bfacaca701da7faa8525b4,25,52,29146,17,4.485486859260276,4.11,
5da098967c3e903fc87402a450199b5174dcc1a71a2370181ebe018f52a0e4fe,20,116,25955,71,3.232363706414949,4.17,
94eb6007ed79b3d8f74b0a282347dcada36877a35dab03e5ba0aa091c19d01a3,16,8,546,3,4.131868131868132,0.63,
7698a21c4650de0c518f9aedcb843c8fe25e8cd4fa660fd600644fafc45735f7,30,352,2500000,200,3.5806488,2.67,
8cbabdfab617a61a59550c599a17d95a84ab6ad5d797004326118cfe9fc34ac5,25,44,5148,1,5.966977466977467,3.7,
6e0433902e05b7ef8f3484e7a5f4ad5fdad43207823386ae53011153452801db,30,414,2500002,31,3.2760757791393766,3.91,
510ab7b0dbb78922d3a6c8c399f24f0eb8e335a561433f778fa8a1f55da894d4,20,17,10464,8,6.297782874617737,1.51,
a323f45c91b6c760b25a422d4ace15459aa13b4803acc212d6000ea5cfe5bafa,30,47,91901,8,4.996115385033895,3.35,
cdb689fefe0e9a53c965714a923d8646bd56f2f5321eaf8d1c11cdfeaf43209e,24,63,2068,45,3.549323017408124,4.31,
c519c6d6c239b1622ff53e96d960a5a482f52e08ef1c3aca0e8bf8a6ed2251f5,25,31,686,9,4.833819241982507,3.37,
3cdca299415077b968d6a86bcc51b413eebaaa2b16d9c1475d24d82cb90d31fb,20,18,39204,8,5.052596673808795,1.74,
ebc25520629f258134d0b19d37dec6d8f1416071ec656ba883cd73b61fa65518,16,31,161,12,3.0559006211180124,4.08,
36454aaf1cfcbf71d11f4ab073112a9cb9ce6427f6397f9cf82d660aaaeaaae1,30,96,32928,24,4.800777453838679,3.82,
9c83a364aa5e26f0298371c8dc820d6bfc6836c50ca7b07c61c8d688eb4ecde9,30,52,8659,35,3.713823767178658,3.97,
2b5638d54467d9ae4d4e4b76bb77d11caeb4d885b48c724df87f5630ff93bc9f,25,60,11173,33,3.824040096661595,4.18,
d234136e84173c7171ab81ce15b1ea2f40472a516f079583135a9c8181721d1e,25,70,30290,23,4.590491911521954,4.14,
e56eb4071de1a33467c0e55ee4594b301809b59dc38556cadfa231e7b9857630,16,54,4488,32,2.903743315508021,4.3,
e3d6856b53c155c4c47c77b4eb095fbb13f2f191789685c9bcc44f2949870e59,30,127,54075,0,5.2524086916319925,3.3,
0db6add3dcea4ca1d7fc7f7746883dc55648c77874b50b11568ec0e03c5ba34d,25,31,2821,15,3.656150301311591,3.76,
dd7cf4628dac6640670f91187799dd10a8ba577a8f4dab211ce7d687f7581543,25,32,53076,15,4.692064209812345,3.4,
188ee51f51f49b47aec4ff1811c5e448e1460eeae254d581dfcd95a9316c275d,25,120,7364,57,3.348180336773493,4.06,
8a244dda836883d2fe7ecd35c1dd80a1064e3596bc259104792d83700de0d866,30,115,76056,56,2.9296833911854425,3.94,
706050bb3765d9e29b48d11ea124e21451b5528a82c5d0291ee6a2ef034a9e19,25,37,52597,14,4.729167062760234,3.55,
b9309ce6622ba0023661fd3fadf046f9eca8252db35c0329a178aefda2526794,25,7,333,5,4.756756756756757,0.79,
0093825c855457012919e04e3de946df052e09ccafed5e6f97c87f1f1fe1cc28,20,45,7328,12,3.620087336244542,4.43,
7b411f3362c3297bbc35e9834ba42c57d7930ee2c221795037b48dba853c30c0,20,28,2998,13,4.348232154769846,4.19,
ce79dc1084715ce112d88b370867fc8dd23668c4b6f59d67739ad5db7c9b52b7,30,130,52602,31,4.753013193414699,3.69,
055ec52c5abbde7d6980df9eb08e810ef06d7bb6c7710653db5b548f18ddb3b4,20,4,999,3,5.637637637637638,0.52,
b84792492164e4db0c40fc45ce7bfef80c272c6f75cc4dbc42e4a2e0a89e9df3,25,18,240,10,3.725,2.31,
9dee2397aaa022975e50805104003811e8b84d9e382fb46fa3f8521e98feb209,30,25,21196,5,4.831100207586337,2.2,
7f1ded3b1b6676273f64c05de9147c3f40fca42f5dc8e8050ad84fd1c9a19980,20,5,232560,1,13.705263157894738,0.27,
fcc57f7ab2cd2e6994d1a1e775eb4e5ed49693fa0510c1fbf333b7845cf2747a,20,5,202,1,4.099009900990099,0.23,
1f7ae9a0d1ea2f6e26b252f0128f798a7922eca67cf1065b9c61df98de223997,30,41,1465,6,4.999317406143344,2.07,
6f8af1fe1af8bd4d962b02621d509f575d8f8b6ef9d6015e95f60352b62e003c,25,10,1331,9,4.048084147257701,0.67,
820f8d42ac46d751f01728cdac4d97e64eaeff8c4ba8c76ecfadbfa36af4d44d,30,185,6363,81,3.471004243281471,3.77,
a6552eee0c4a931474f7c9c431c24de44f3f19e3fc50364aa449181df08d7249,25,52,569138,22,5.8676138300377065,4.07,
d6e3e8aeb2c8a6dd9e1bd2bf3b470756bdb43378275167d943c72b9731d9a3f2,36,55,900802,16,4.995492905211134,3.95,
9ca84f2141934700d647b0d13c7c688bf6abe9262ce5186f3bc6ebd3adb7cf01,20,18,1694,4,5.0271546635183,1.57,
f15847df05c62d0d2d79e90182f6c020468abc41fefe3e3696902fb4ced9d2d0,16,4,16,0,3.0,0.09,
